fighter,date_of_birth,tuf,r2ufc,dwcs,pride,sf,wec,bmf,hof,country,gender,weightclass,peak_rank,peak_p4p,bouts,wins,win_types,losses,loss_types,streak,best_streak,total_time,mean_age,opp_age,bonus,slot,elo,peak_elo,opp_elo,debut,debut_result,prev_bout,prev_result
Felipe dos Santos,2000-09-11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,flyweight,16,16,4,1,0 KO 0 Sub 1 Dec,3,0 KO 0 Sub 3 Dec,-2,1,3600,23.7,28.6,1,7.5,2506,2601,2767,2023-09-09,L - Manel Kape,2025-03-22,L - Lone'er Kavanagh
Brian Foster,1984-04-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,welterweight,16,16,5,3,2 KO 1 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,2,2,1473,26,31.5,2,8.2,2754,2600,2585,2009-09-19,L - Rick Story,2010-11-20,W - Matt Brown
Murilo Bustamante,1966-07-30,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Brazil,male,"middleweight, light heavyweight",-1,16,4,3,1 KO 2 Sub 0 Dec,1,0 KO 0 Sub 1 Dec,2,2,2268,35,31.1,0,2.5,2578,2600,2546,2000-04-14,W - Yoji Anjo,2002-05-10,W - Matt Lindland
Daniel Teymur,1988-02-03,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Sweden,male,featherweight,16,16,5,1,0 KO 0 Sub 1 Dec,4,1 KO 2 Sub 1 Dec,-1,1,3219,30.8,26.3,1,7.6,2522,2600,2712,2017-07-16,L - Danny Henry,2019-12-14,L - Chase Hooper
Caio Machado,1994-07-20,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,Brazil,male,"light heavyweight, heavyweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,0 KO 0 Sub 3 Dec,-3,-1,2700,29.8,29.5,0,7.3,2506,2600,2587,2023-11-18,L - Mick Parkin,2024-11-02,L - Brendson Ribeiro
Chad Griggs,1978-05-15,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,United States,male,"light heavyweight, heavyweight",16,16,2,0,0 KO 0 Sub 0 Dec,2,0 KO 2 Sub 0 Dec,-2,-1,293,34.2,34.4,0,7,2500,2600,2723,2012-04-21,L - Travis Browne,2012-11-17,L - Cyrille Diabate
Jordan Williams,1990-10-13,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,United States,male,"welterweight, middleweight",16,16,3,0,0 KO 0 Sub 0 Dec,3,1 KO 1 Sub 1 Dec,-3,-1,1376,30.6,26,0,8.7,2470,2599,2697,2020-10-03,L - Nassourdine Imavov,2021-11-06,L - Ian Machado Garry
Edgar Garcia,1984-02-22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,United States,male,welterweight,16,16,4,0,0 KO 0 Sub 0 Dec,4,1 KO 2 Sub 1 Dec,-4,-1,1553,28.4,29.5,0,8.5,2308,2599,2520,2009-06-20,L - Brad Blackburn,2016-01-02,L - Sheldon Westcott
Masanori Kanehara,1982-11-19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Japan,male,bantamweight,15,16,3,1,0 KO 0 Sub 1 Dec,2,0 KO 1 Sub 1 Dec,-2,1,2229,32.5,27.4,0,7.3,2604,2598,2742,2014-09-20,W - Alex Caceres,2016-01-02,L - Michael McDonald
Robelis Despaigne,1988-09-09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Cuba,male,heavyweight,16,16,3,1,1 KO 0 Sub 0 Dec,2,0 KO 0 Sub 2 Dec,-2,1,1818,35.8,34.7,1,9.7,2442,2598,2590,2024-03-09,W - Josh Parisian,2024-10-19,L - Austen Lane
